AngleRoll,AnglePitch,Tempo
-41.586422,37.691929,41670
-41.497284,37.912403,41685
-41.365509,38.048634,41714
-41.286907,38.077869,41732
-41.069805,37.882153,41753
-41.336353,37.748867,41776
-41.345425,37.730618,41787
-41.411034,37.768028,41816
-41.698433,37.612606,41834
-41.704334,37.636723,41859
-41.195827,37.942425,41883
-41.129162,38.193577,41905
-40.912754,38.394955,41921
-40.959400,38.391666,41938
-41.460709,37.805790,41967
-41.340618,37.511158,41987
-41.700546,37.415363,42009
-41.673313,37.428017,42035
-41.343521,38.073948,42051
-41.277664,38.200417,42071
-40.773941,38.511433,42096
-41.262810,38.334129,42124
-41.138256,38.080936,42144
-41.414490,37.495281,42164
-41.899731,37.465618,42182
-42.032803,37.050869,42206
-41.557178,37.758625,42225
-41.038460,38.198330,42246
-40.724285,38.352917,42261
-40.897434,38.450329,42284
-40.744118,38.477261,42313
-41.125370,38.177757,42334
-42.193707,36.874592,42360
-41.683685,37.573547,42386
-41.601822,37.720566,42417
-40.889423,38.351223,42436
-40.857536,38.520576,42464
-40.799427,38.300831,42485
-41.467014,37.725861,42517
-41.862492,37.268169,42540
-42.139988,36.936481,42561
-41.830387,37.422329,42580
-41.047455,38.168907,42607
-40.807777,38.547623,42638
-40.569038,38.630051,42658
-40.825745,38.398834,42675
-41.322933,37.901096,42693
-41.784569,37.495098,42723
-41.924675,37.231606,42755
-41.281528,37.916191,42781
-41.011311,38.238632,42811
-40.668785,38.623943,42852
-41.247532,38.210983,42872
-41.940647,37.226669,42906
-41.747307,37.251305,42942
-41.599705,37.688652,42962
-40.970818,38.272953,42992
-40.959713,38.530605,43010
-40.865658,38.385620,43031
-41.209057,38.035751,43045
-41.486965,37.497604,43062
-41.980331,37.230247,43082
-41.944687,36.966557,43101
-41.660339,37.408344,43116
-41.487492,37.663799,43145
-41.277710,38.134178,43163
-40.930664,38.393539,43181
-40.634315,39.002785,43204
-40.752079,38.567299,43217
-41.271648,38.033504,43248
-41.323444,37.608639,43266
-41.566391,37.621666,43284
-41.962658,37.020100,43305
-41.628834,37.669594,43319
-41.435028,37.565189,43337
-41.046230,38.323658,43357
-41.033859,38.205738,43386
-41.009796,38.503365,43407
-41.170135,38.219139,43426
-41.310753,37.836079,43453
-41.475807,37.783768,43483
-41.710117,37.300812,43497
-41.286774,38.028126,43542
-41.070610,38.222218,43559
-41.078022,38.251842,43576
-41.323032,38.058064,43592
-41.287258,38.003769,43614
-41.300762,37.771770,43631
-41.578373,37.717693,43658
-41.710678,37.417969,43675
-41.429798,37.694851,43694
-41.332397,37.708759,43714
-41.271591,38.016953,43730
-41.473038,37.857075,43758
-41.416691,37.684708,43776
-41.300331,37.785248,43793
-41.361027,37.832535,43817
-41.543503,37.638348,43830
-41.283020,37.880955,43861
-41.019955,38.357071,43879
-41.129185,38.336735,43896
-41.116447,38.100037,43919
-41.166782,38.072208,43933
-41.344265,37.845501,43954
-41.494110,37.722443,43969
-41.449829,37.689198,43987
-41.513397,37.819374,44006
-41.343792,37.993958,44025
-41.270309,37.994598,44041
-41.025696,38.261730,44060
-40.976665,38.115421,44087
-41.183926,38.108616,44108
-41.316517,38.041626,44131
-41.417854,37.737373,44155
-41.778770,37.674648,44173
-41.643391,37.400776,44191
-41.372292,37.924614,44209
-41.200146,37.853168,44229
-40.950500,38.363907,44246
-41.138290,38.114193,44275
-41.304405,38.073418,44293
-41.349419,37.759071,44311
-41.535721,37.753433,44329
-41.872211,37.329006,44347
-41.805405,37.227474,44378
-41.369282,37.813225,44395
-41.285282,37.956066,44418
-40.847466,38.563931,44444
-41.211414,38.053303,44479
-41.362427,37.995224,44498
-41.790165,37.334095,44535
-41.720470,37.404190,44551
-41.262283,37.928432,44581
-41.206203,38.081890,44599
-41.007893,38.382595,44621
-41.339272,38.041824,44638
-40.894989,38.131199,44668
-41.517918,37.788059,44682
-41.833900,37.458839,44700
-41.768581,37.380779,44732
-41.159286,38.099800,44775
-41.121819,38.130501,44791
-41.171741,38.217384,44814
-40.939259,38.351780,44842
-41.735172,37.638565,44876
-41.595192,37.599556,44898
-41.615688,37.520699,44916
-41.202522,38.060150,44945
-41.003117,38.270721,44980
-41.125145,37.921944,44994
-41.165371,38.049862,45020
-41.215237,37.889046,45029
-41.607315,37.586765,45053
-41.708214,37.599125,45065
-41.564278,37.667080,45083
-41.436344,37.920444,45109
-41.193375,37.980495,45122
-41.252789,37.982540,45141
-41.218967,38.143360,45161
-40.996212,38.277264,45177
-41.204010,38.258167,45190
-41.360733,37.890236,45215
-41.796097,37.345467,45238
-41.618896,37.709534,45268
-41.378632,37.827858,45298
-41.238804,37.999569,45317
-41.166348,38.078365,45333
-41.050358,38.222717,45357
-41.294216,37.989853,45386
-41.329185,37.867554,45400
-41.641022,37.656921,45416
-41.576008,37.608173,45435
-41.408993,37.844612,45457
-41.310894,37.852623,45472
-41.204121,38.041637,45500
-40.993057,38.108273,45518
-41.121769,38.022915,45559
-41.342731,37.817661,45590
-41.377487,37.849590,45612
-41.294037,37.802402,45626
-41.557152,37.788456,45648
-41.094730,38.161491,45679
-41.235916,38.012352,45716
-41.212257,37.942928,45734
-41.349602,37.957653,45763
-41.295944,37.816730,45798
-41.661629,37.535442,45812
